A2M183CETUMR96_speedup,A2M183CETUMR96_rubble,A2M183CETUMR96_triage_red,A2M183CETUMR96_triage_yellow,A2M183CETUMR96_triage_green,A2M183CETUMR96_effort,A2M183CETUMR96_timestamp,A2M183CETUMR96_x,A2M183CETUMR96_y,A2M183CETUMR96_event,A33VGSEJ44ORMF_speedup,A33VGSEJ44ORMF_rubble,A33VGSEJ44ORMF_triage_red,A33VGSEJ44ORMF_triage_yellow,A33VGSEJ44ORMF_triage_green,A33VGSEJ44ORMF_effort,A33VGSEJ44ORMF_timestamp,A33VGSEJ44ORMF_x,A33VGSEJ44ORMF_y,A33VGSEJ44ORMF_event,A2JDYN6QM8M5UN_speedup,A2JDYN6QM8M5UN_rubble,A2JDYN6QM8M5UN_triage_red,A2JDYN6QM8M5UN_triage_yellow,A2JDYN6QM8M5UN_triage_green,A2JDYN6QM8M5UN_effort,A2JDYN6QM8M5UN_timestamp,A2JDYN6QM8M5UN_x,A2JDYN6QM8M5UN_y,A2JDYN6QM8M5UN_event,A1WH32GYQOHIRQ_speedup,A1WH32GYQOHIRQ_rubble,A1WH32GYQOHIRQ_triage_red,A1WH32GYQOHIRQ_triage_yellow,A1WH32GYQOHIRQ_triage_green,A1WH32GYQOHIRQ_effort,A1WH32GYQOHIRQ_timestamp,A1WH32GYQOHIRQ_x,A1WH32GYQOHIRQ_y,A1WH32GYQOHIRQ_event,publish,A2M183CETUMR96_triage,A2M183CETUMR96_exploration,A2M183CETUMR96_move,A33VGSEJ44ORMF_triage,A33VGSEJ44ORMF_exploration,A33VGSEJ44ORMF_move,A2JDYN6QM8M5UN_triage,A2JDYN6QM8M5UN_exploration,A2JDYN6QM8M5UN_move,A1WH32GYQOHIRQ_triage,A1WH32GYQOHIRQ_exploration,A1WH32GYQOHIRQ_move
0,0,0,0,0,0,1655837152.239552,12,4,start mission,0,0,0,0,0,0,1655837152.288972,12,4,start mission,0,0,0,0,0,0,1655837152.396186,12,4,start mission,0,0,0,0,0,0,1655837152.408088,12,4,start mission,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837152.576967,12,4,,0,0,0,0,0,0,1655837152.288972,12,4,start mission,0,0,0,0,0,0,1655837152.396186,12,4,start mission,0,0,0,0,0,0,1655837152.408088,12,4,start mission,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837152.576967,12,4,,0,0,0,0,0,0,1655837152.691454,12,4,,0,0,0,0,0,0,1655837152.396186,12,4,start mission,0,0,0,0,0,0,1655837152.408088,12,4,start mission,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837152.576967,12,4,,0,0,0,0,0,0,1655837152.691454,12,4,,0,0,0,0,0,0,1655837152.715707,12,4,,0,0,0,0,0,0,1655837152.408088,12,4,start mission,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837152.576967,12,4,,0,0,0,0,0,0,1655837152.691454,12,4,,0,0,0,0,0,0,1655837152.715707,12,4,,0,0,0,0,0,0,1655837152.719243,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837153.571927,12,4,,0,0,0,0,0,0,1655837152.691454,12,4,,0,0,0,0,0,0,1655837152.715707,12,4,,0,0,0,0,0,0,1655837152.719243,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837153.571927,12,4,,0,0,0,0,0,0,1655837152.691454,12,4,,0,0,0,0,0,0,1655837153.631121,12,4,,0,0,0,0,0,0,1655837152.719243,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837153.571927,12,4,,0,0,0,0,0,0,1655837153.632095,12,4,,0,0,0,0,0,0,1655837153.631121,12,4,,0,0,0,0,0,0,1655837152.719243,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837153.571927,12,4,,0,0,0,0,0,0,1655837153.632095,12,4,,0,0,0,0,0,0,1655837153.631121,12,4,,0,0,0,0,0,0,1655837153.654499,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837154.59117,12,4,,0,0,0,0,0,0,1655837153.632095,12,4,,0,0,0,0,0,0,1655837153.631121,12,4,,0,0,0,0,0,0,1655837153.654499,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837154.59117,12,4,,0,0,0,0,0,0,1655837154.609234,12,4,,0,0,0,0,0,0,1655837153.631121,12,4,,0,0,0,0,0,0,1655837153.654499,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837154.59117,12,4,,0,0,0,0,0,0,1655837154.609234,12,4,,0,0,0,0,0,0,1655837154.615837,12,4,,0,0,0,0,0,0,1655837153.654499,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837154.59117,12,4,,0,0,0,0,0,0,1655837154.609234,12,4,,0,0,0,0,0,0,1655837154.615837,12,4,,0,0,0,0,0,0,1655837154.651783,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837155.598184,12,4,,0,0,0,0,0,0,1655837154.609234,12,4,,0,0,0,0,0,0,1655837154.615837,12,4,,0,0,0,0,0,0,1655837154.651783,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837155.598184,12,4,,0,0,0,0,0,0,1655837154.609234,12,4,,0,0,0,0,0,0,1655837154.615837,12,4,,0,0,0,0,0,0,1655837155.667156,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837155.598184,12,4,,0,0,0,0,0,0,1655837154.609234,12,4,,0,0,0,0,0,0,1655837155.681491,12,4,,0,0,0,0,0,0,1655837155.667156,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837155.598184,12,4,,0,0,0,0,0,0,1655837155.687643,12,4,,0,0,0,0,0,0,1655837155.681491,12,4,,0,0,0,0,0,0,1655837155.667156,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837156.573257,12,4,,0,0,0,0,0,0,1655837155.687643,12,4,,0,0,0,0,0,0,1655837155.681491,12,4,,0,0,0,0,0,0,1655837155.667156,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837156.573257,12,4,,0,0,0,0,0,0,1655837155.687643,12,4,,0,0,0,0,0,0,1655837156.636055,12,4,,0,0,0,0,0,0,1655837155.667156,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837156.573257,12,4,,0,0,0,0,0,0,1655837155.687643,12,4,,0,0,0,0,0,0,1655837156.636055,12,4,,0,0,0,0,0,0,1655837156.690895,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837156.573257,12,4,,0,0,0,0,0,0,1655837156.714008,12,4,,0,0,0,0,0,0,1655837156.636055,12,4,,0,0,0,0,0,0,1655837156.690895,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837156.573257,12,4,,0,0,0,0,0,1,1655837156.714008,13,4,,0,0,0,0,0,0,1655837156.636055,12,4,,0,0,0,0,0,0,1655837157.601104,12,4,,False,,,,,,,,,,,,
0,0,0,0,0,0,1655837157.614373,12,4,,0,0,0,0,0,1,1655837156.714008,13,4,,0,0,0,0,0,0,1655837156.636055,12,4,,0,0,0,0,0,0,1655837157.601104,12,4,,False,,,,,,,,,,,,
