id,z,x,code,key,pos
0,0,0,1,wall,00
1,1,0,1,wall,10
2,2,0,1,wall,20
3,3,0,1,wall,30
4,4,0,1,wall,40
5,5,0,1,wall,50
6,6,0,1,wall,60
7,7,0,1,wall,70
8,8,0,1,wall,80
9,9,0,1,wall,90
10,10,0,1,wall,100
11,11,0,1,wall,110
12,12,0,1,wall,120
13,13,0,1,wall,130
14,14,0,1,wall,140
15,15,0,1,wall,150
16,16,0,1,wall,160
17,17,0,1,wall,170
18,18,0,1,wall,180
19,19,0,1,wall,190
20,20,0,1,wall,200
21,21,0,1,wall,210
22,22,0,1,wall,220
23,23,0,1,wall,230
24,24,0,1,wall,240
25,25,0,1,wall,250
26,26,0,1,wall,260
27,27,0,1,wall,270
28,28,0,1,wall,280
29,29,0,1,wall,290
30,30,0,1,wall,300
31,31,0,1,wall,310
32,32,0,1,wall,320
33,33,0,1,wall,330
34,34,0,1,wall,340
35,35,0,1,wall,350
36,36,0,1,wall,360
37,37,0,1,wall,370
38,38,0,1,wall,380
39,39,0,1,wall,390
40,40,0,1,wall,400
41,41,0,1,wall,410
42,42,0,1,wall,420
43,43,0,1,wall,430
44,44,0,1,wall,440
45,45,0,1,wall,450
46,46,0,1,wall,460
47,47,0,1,wall,470
48,48,0,1,wall,480
49,49,0,1,wall,490
50,50,0,1,wall,500
51,51,0,1,wall,510
52,0,1,1,wall,01
53,1,1,1,wall,11
54,2,1,11,center_pane,21
55,3,1,11,center_pane,31
56,4,1,11,center_pane,41
57,5,1,11,center_pane,51
58,6,1,11,center_pane,61
59,7,1,1,wall,71
60,8,1,11,center_pane,81
61,9,1,11,center_pane,91
62,10,1,11,center_pane,101
63,11,1,11,center_pane,111
64,12,1,11,center_pane,121
65,13,1,11,center_pane,131
66,14,1,11,center_pane,141
67,15,1,11,center_pane,151
68,16,1,11,center_pane,161
69,17,1,11,center_pane,171
70,18,1,11,center_pane,181
71,19,1,11,center_pane,191
72,20,1,11,center_pane,201
73,21,1,11,center_pane,211
74,22,1,11,center_pane,221
75,23,1,11,center_pane,231
76,24,1,11,center_pane,241
77,25,1,11,center_pane,251
78,26,1,11,center_pane,261
79,27,1,11,center_pane,271
80,28,1,11,center_pane,281
81,29,1,11,center_pane,291
82,30,1,11,center_pane,301
83,31,1,11,center_pane,311
84,32,1,11,center_pane,321
85,33,1,11,center_pane,331
86,34,1,11,center_pane,341
87,35,1,11,center_pane,351
88,36,1,11,center_pane,361
89,37,1,11,center_pane,371
90,38,1,11,center_pane,381
91,39,1,11,center_pane,391
92,40,1,11,center_pane,401
93,41,1,11,center_pane,411
94,42,1,11,center_pane,421
95,43,1,11,center_pane,431
96,44,1,11,center_pane,441
97,45,1,11,center_pane,451
98,46,1,11,center_pane,461
99,47,1,11,center_pane,471
100,48,1,11,center_pane,481
101,49,1,11,center_pane,491
102,50,1,11,center_pane,501
103,51,1,1,wall,511
104,0,2,1,wall,02
105,1,2,1,wall,12
106,2,2,11,center_pane,22
107,3,2,11,center_pane,32
108,4,2,11,center_pane,42
109,5,2,11,center_pane,52
110,6,2,11,center_pane,62
111,7,2,1,wall,72
112,8,2,11,center_pane,82
113,9,2,11,center_pane,92
114,10,2,11,center_pane,102
115,11,2,11,center_pane,112
116,12,2,11,center_pane,122
117,13,2,11,center_pane,132
118,14,2,11,center_pane,142
119,15,2,11,center_pane,152
120,16,2,11,center_pane,162
121,17,2,11,center_pane,172
122,18,2,11,center_pane,182
123,19,2,11,center_pane,192
124,20,2,11,center_pane,202
125,21,2,11,center_pane,212
126,22,2,11,center_pane,222
127,23,2,11,center_pane,232
128,24,2,11,center_pane,242
129,25,2,11,center_pane,252
130,26,2,11,center_pane,262
131,27,2,11,center_pane,272
132,28,2,11,center_pane,282
133,29,2,11,center_pane,292
134,30,2,11,center_pane,302
135,31,2,11,center_pane,312
136,32,2,11,center_pane,322
137,33,2,11,center_pane,332
138,34,2,11,center_pane,342
139,35,2,11,center_pane,352
140,36,2,11,center_pane,362
141,37,2,11,center_pane,372
142,38,2,11,center_pane,382
143,39,2,11,center_pane,392
144,40,2,11,center_pane,402
145,41,2,11,center_pane,412
146,42,2,11,center_pane,422
147,43,2,11,center_pane,432
148,44,2,11,center_pane,442
149,45,2,11,center_pane,452
150,46,2,11,center_pane,462
151,47,2,11,center_pane,472
152,48,2,11,center_pane,482
153,49,2,11,center_pane,492
154,50,2,11,center_pane,502
155,51,2,1,wall,512
156,0,3,1,wall,03
157,1,3,1,wall,13
158,2,3,11,center_pane,23
159,3,3,11,center_pane,33
160,4,3,11,center_pane,43
161,5,3,11,center_pane,53
162,6,3,11,center_pane,63
163,7,3,1,wall,73
164,8,3,11,center_pane,83
165,9,3,11,center_pane,93
166,10,3,11,center_pane,103
167,11,3,11,center_pane,113
168,12,3,11,center_pane,123
169,13,3,11,center_pane,133
170,14,3,11,center_pane,143
171,15,3,11,center_pane,153
172,16,3,11,center_pane,163
173,17,3,11,center_pane,173
174,18,3,11,center_pane,183
175,19,3,11,center_pane,193
176,20,3,11,center_pane,203
177,21,3,11,center_pane,213
178,22,3,11,center_pane,223
179,23,3,11,center_pane,233
180,24,3,11,center_pane,243
181,25,3,11,center_pane,253
182,26,3,11,center_pane,263
183,27,3,11,center_pane,273
184,28,3,11,center_pane,283
185,29,3,11,center_pane,293
186,30,3,11,center_pane,303
187,31,3,11,center_pane,313
188,32,3,11,center_pane,323
189,33,3,1,wall,333
190,34,3,1,wall,343
191,35,3,1,wall,353
192,36,3,11,center_pane,363
193,37,3,11,center_pane,373
194,38,3,11,center_pane,383
195,39,3,11,center_pane,393
196,40,3,11,center_pane,403
197,41,3,11,center_pane,413
198,42,3,11,center_pane,423
199,43,3,11,center_pane,433
200,44,3,11,center_pane,443
201,45,3,11,center_pane,453
202,46,3,11,center_pane,463
203,47,3,11,center_pane,473
204,48,3,11,center_pane,483
205,49,3,11,center_pane,493
206,50,3,11,center_pane,503
207,51,3,1,wall,513
208,0,4,1,wall,04
209,1,4,1,wall,14
210,2,4,11,center_pane,24
211,3,4,11,center_pane,34
212,4,4,11,center_pane,44
213,5,4,11,center_pane,54
214,6,4,11,center_pane,64
215,7,4,1,wall,74
216,8,4,11,center_pane,84
217,9,4,11,center_pane,94
218,10,4,11,center_pane,104
219,11,4,11,center_pane,114
220,12,4,11,center_pane,124
221,13,4,11,center_pane,134
222,14,4,11,center_pane,144
223,15,4,11,center_pane,154
224,16,4,11,center_pane,164
225,17,4,11,center_pane,174
226,18,4,11,center_pane,184
227,19,4,11,center_pane,194
228,20,4,11,center_pane,204
229,21,4,11,center_pane,214
230,22,4,11,center_pane,224
231,23,4,11,center_pane,234
232,24,4,11,center_pane,244
233,25,4,11,center_pane,254
234,26,4,11,center_pane,264
235,27,4,11,center_pane,274
236,28,4,11,center_pane,284
237,29,4,1,wall,294
238,30,4,1,wall,304
239,31,4,1,wall,314
240,32,4,1,wall,324
241,33,4,11,center_pane,334
242,34,4,11,center_pane,344
243,35,4,11,center_pane,354
244,36,4,1,wall,364
245,37,4,1,wall,374
246,38,4,1,wall,384
247,39,4,1,wall,394
248,40,4,1,wall,404
249,41,4,1,wall,414
250,42,4,1,wall,424
251,43,4,1,wall,434
252,44,4,1,wall,444
253,45,4,1,wall,454
254,46,4,1,wall,464
255,47,4,1,wall,474
256,48,4,1,wall,484
257,49,4,1,wall,494
258,50,4,1,wall,504
259,51,4,1,wall,514
260,0,5,1,wall,05
261,1,5,1,wall,15
262,2,5,11,center_pane,25
263,3,5,11,center_pane,35
264,4,5,11,center_pane,45
265,5,5,11,center_pane,55
266,6,5,11,center_pane,65
267,7,5,1,wall,75
268,8,5,11,center_pane,85
269,9,5,11,center_pane,95
270,10,5,11,center_pane,105
271,11,5,11,center_pane,115
272,12,5,11,center_pane,125
273,13,5,11,center_pane,135
274,14,5,11,center_pane,145
275,15,5,11,center_pane,155
276,16,5,11,center_pane,165
277,17,5,11,center_pane,175
278,18,5,11,center_pane,185
279,19,5,11,center_pane,195
280,20,5,11,center_pane,205
281,21,5,11,center_pane,215
282,22,5,11,center_pane,225
283,23,5,11,center_pane,235
284,24,5,11,center_pane,245
285,25,5,11,center_pane,255
286,26,5,11,center_pane,265
287,27,5,11,center_pane,275
288,28,5,11,center_pane,285
289,29,5,1,wall,295
290,30,5,11,center_pane,305
291,31,5,11,center_pane,315
292,32,5,11,center_pane,325
293,33,5,11,center_pane,335
294,34,5,11,center_pane,345
295,35,5,11,center_pane,355
296,36,5,1,wall,365
297,37,5,11,center_pane,375
298,38,5,11,center_pane,385
299,39,5,11,center_pane,395
300,40,5,11,center_pane,405
301,41,5,2,door,415
302,42,5,11,center_pane,425
303,43,5,11,center_pane,435
304,44,5,11,center_pane,445
305,45,5,11,center_pane,455
306,46,5,11,center_pane,465
307,47,5,11,center_pane,475
308,48,5,11,center_pane,485
309,49,5,11,center_pane,495
310,50,5,1,wall,505
311,51,5,1,wall,515
312,0,6,1,wall,06
313,1,6,1,wall,16
314,2,6,11,center_pane,26
315,3,6,11,center_pane,36
316,4,6,11,center_pane,46
317,5,6,11,center_pane,56
318,6,6,11,center_pane,66
319,7,6,1,wall,76
320,8,6,11,center_pane,86
321,9,6,11,center_pane,96
322,10,6,11,center_pane,106
323,11,6,11,center_pane,116
324,12,6,11,center_pane,126
325,13,6,11,center_pane,136
326,14,6,11,center_pane,146
327,15,6,11,center_pane,156
328,16,6,11,center_pane,166
329,17,6,11,center_pane,176
330,18,6,11,center_pane,186
331,19,6,11,center_pane,196
332,20,6,11,center_pane,206
333,21,6,11,center_pane,216
334,22,6,11,center_pane,226
335,23,6,11,center_pane,236
336,24,6,11,center_pane,246
337,25,6,11,center_pane,256
338,26,6,11,center_pane,266
339,27,6,1,wall,276
340,28,6,1,wall,286
341,29,6,11,center_pane,296
342,30,6,11,center_pane,306
343,31,6,11,center_pane,316
344,32,6,11,center_pane,326
345,33,6,11,center_pane,336
346,34,6,11,center_pane,346
347,35,6,11,center_pane,356
348,36,6,1,wall,366
349,37,6,11,center_pane,376
350,38,6,11,center_pane,386
351,39,6,11,center_pane,396
352,40,6,11,center_pane,406
353,41,6,1,wall,416
354,42,6,11,center_pane,426
355,43,6,11,center_pane,436
356,44,6,11,center_pane,446
357,45,6,11,center_pane,456
358,46,6,11,center_pane,466
359,47,6,11,center_pane,476
360,48,6,11,center_pane,486
361,49,6,11,center_pane,496
362,50,6,1,wall,506
363,51,6,1,wall,516
364,0,7,1,wall,07
365,1,7,1,wall,17
366,2,7,11,center_pane,27
367,3,7,11,center_pane,37
368,4,7,11,center_pane,47
369,5,7,11,center_pane,57
370,6,7,11,center_pane,67
371,7,7,1,wall,77
372,8,7,1,wall,87
373,9,7,1,wall,97
374,10,7,1,wall,107
375,11,7,1,wall,117
376,12,7,1,wall,127
377,13,7,1,wall,137
378,14,7,1,wall,147
379,15,7,1,wall,157
380,16,7,1,wall,167
381,17,7,1,wall,177
382,18,7,1,wall,187
383,19,7,1,wall,197
384,20,7,1,wall,207
385,21,7,1,wall,217
386,22,7,1,wall,227
387,23,7,1,wall,237
388,24,7,1,wall,247
389,25,7,1,wall,257
390,26,7,1,wall,267
391,27,7,11,center_pane,277
392,28,7,11,center_pane,287
393,29,7,11,center_pane,297
394,30,7,11,center_pane,307
395,31,7,11,center_pane,317
396,32,7,11,center_pane,327
397,33,7,11,center_pane,337
398,34,7,11,center_pane,347
399,35,7,11,center_pane,357
400,36,7,1,wall,367
401,37,7,11,center_pane,377
402,38,7,11,center_pane,387
403,39,7,11,center_pane,397
404,40,7,11,center_pane,407
405,41,7,1,wall,417
406,42,7,1,wall,427
407,43,7,1,wall,437
408,44,7,1,wall,447
409,45,7,1,wall,457
410,46,7,1,wall,467
411,47,7,11,center_pane,477
412,48,7,11,center_pane,487
413,49,7,11,center_pane,497
414,50,7,1,wall,507
415,51,7,1,wall,517
416,0,8,1,wall,08
417,1,8,1,wall,18
418,2,8,11,center_pane,28
419,3,8,11,center_pane,38
420,4,8,11,center_pane,48
421,5,8,11,center_pane,58
422,6,8,11,center_pane,68
423,7,8,1,wall,78
424,8,8,11,center_pane,88
425,9,8,11,center_pane,98
426,10,8,11,center_pane,108
427,11,8,11,center_pane,118
428,12,8,11,center_pane,128
429,13,8,11,center_pane,138
430,14,8,11,center_pane,148
431,15,8,11,center_pane,158
432,16,8,11,center_pane,168
433,17,8,11,center_pane,178
434,18,8,11,center_pane,188
435,19,8,11,center_pane,198
436,20,8,11,center_pane,208
437,21,8,11,center_pane,218
438,22,8,11,center_pane,228
439,23,8,11,center_pane,238
440,24,8,11,center_pane,248
441,25,8,1,wall,258
442,26,8,11,center_pane,268
443,27,8,11,center_pane,278
444,28,8,11,center_pane,288
445,29,8,11,center_pane,298
446,30,8,11,center_pane,308
447,31,8,11,center_pane,318
448,32,8,11,center_pane,328
449,33,8,11,center_pane,338
450,34,8,11,center_pane,348
451,35,8,11,center_pane,358
452,36,8,1,wall,368
453,37,8,11,center_pane,378
454,38,8,11,center_pane,388
455,39,8,11,center_pane,398
456,40,8,11,center_pane,408
457,41,8,1,wall,418
458,42,8,1,wall,428
459,43,8,1,wall,438
460,44,8,11,center_pane,448
461,45,8,3,green,458
462,46,8,11,center_pane,468
463,47,8,11,center_pane,478
464,48,8,11,center_pane,488
465,49,8,11,center_pane,498
466,50,8,1,wall,508
467,51,8,1,wall,518
468,0,9,1,wall,09
469,1,9,1,wall,19
470,2,9,11,center_pane,29
471,3,9,11,center_pane,39
472,4,9,11,center_pane,49
473,5,9,11,center_pane,59
474,6,9,11,center_pane,69
475,7,9,1,wall,79
476,8,9,11,center_pane,89
477,9,9,11,center_pane,99
478,10,9,11,center_pane,109
479,11,9,11,center_pane,119
480,12,9,11,center_pane,129
481,13,9,11,center_pane,139
482,14,9,11,center_pane,149
483,15,9,11,center_pane,159
484,16,9,11,center_pane,169
485,17,9,11,center_pane,179
486,18,9,11,center_pane,189
487,19,9,11,center_pane,199
488,20,9,11,center_pane,209
489,21,9,11,center_pane,219
490,22,9,11,center_pane,229
491,23,9,11,center_pane,239
492,24,9,11,center_pane,249
