inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
5,0,0,0,0,1,2.0,1651514962
10,0,0,0,0,0,0.0,1651514972
11,0,0,0,0,0,0.0,1651514983
10,0,0,0,0,0,0.0,1651514993
10,0,0,0,0,0,0.0,1651515003
10,0,0,0,0,0,0.0,1651515013
9,0,0,0,0,0,0.0,1651515022
10,0,0,0,0,0,0.0,1651515032
10,0,0,0,0,0,0.0,1651515042
11,0,0,0,0,0,0.0,1651515053
9,0,0,0,0,0,0.0,1651515062
10,0,0,0,0,0,0.0,1651515072
11,0,0,0,0,0,0.0,1651515083
9,0,0,0,0,0,0.0,1651515092
10,0,0,0,0,0,0.0,1651515102
11,0,0,0,0,0,0.0,1651515113
9,0,0,0,0,0,0.0,1651515122
11,0,0,0,0,0,0.0,1651515133
9,0,0,0,0,0,0.0,1651515142
11,0,0,0,0,0,0.0,1651515153
10,0,0,0,0,0,0.0,1651515163
10,0,0,0,0,0,0.0,1651515173
10,0,0,0,0,0,0.0,1651515183
10,0,0,0,0,0,0.0,1651515193
9,0,0,0,0,0,0.0,1651515202
11,0,0,0,0,0,0.0,1651515213
9,0,0,0,0,0,0.0,1651515222
11,0,0,0,0,0,0.0,1651515233
10,0,0,0,0,0,0.0,1651515243
10,0,0,0,0,0,0.0,1651515253
