inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0.0,1651515610
7,0,0,0,0,3,0.5,1651515620
8,1,0,0,1,0,0.0,1651515630
10,0,0,0,0,0,0.0,1651515640
10,0,0,0,0,0,0.0,1651515650
10,0,0,0,0,0,0.0,1651515660
10,0,0,0,0,0,0.0,1651515670
10,0,0,0,0,0,0.0,1651515680
10,0,0,0,0,0,0.0,1651515690
10,0,0,0,0,0,0.0,1651515700
10,0,0,0,0,0,0.0,1651515710
10,0,0,0,0,0,0.0,1651515720
10,0,0,0,0,0,0.0,1651515730
10,0,0,0,0,0,0.0,1651515740
9,0,0,0,0,0,0.0,1651515749
10,0,0,0,0,0,0.0,1651515759
10,0,0,0,0,0,0.0,1651515769
10,0,0,0,0,0,0.0,1651515779
11,0,0,0,0,0,0.0,1651515790
6,0,0,0,0,5,0.0,1651515801
3,0,0,0,0,5,0.0,1651515810
1,0,0,0,0,8,0.0,1651515820
7,0,0,0,0,0,0.0,1651515830
10,0,0,0,0,0,0.0,1651515840
10,0,0,0,0,0,0.0,1651515850
2,0,0,0,0,9,0.0,1651515861
3,0,0,0,0,5,0.0,1651515870
4,0,0,0,0,5,0.0,1651515880
10,0,0,0,0,0,0.0,1651515890
10,0,0,0,0,0,0.0,1651515900
