inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0,1651515611
4,0,0,0,0,5,0,1651515621
4,0,0,1,2,2,0,1651515630
10,0,0,0,0,0,0,1651515640
10,0,0,0,0,0,0,1651515650
10,0,0,0,0,0,0,1651515660
10,0,0,0,0,0,0,1651515670
10,0,0,0,0,0,0,1651515680
9,0,0,0,0,0,0,1651515689
10,0,0,0,0,0,0,1651515699
11,0,0,0,0,0,0,1651515710
10,0,0,0,0,0,0,1651515720
10,0,0,0,0,0,0,1651515730
11,0,0,0,0,0,0,1651515741
10,0,0,0,0,0,0,1651515751
10,0,0,0,0,0,0,1651515761
10,0,0,0,0,0,0,1651515771
10,0,0,0,0,0,0,1651515781
9,0,0,0,0,0,0,1651515790
10,0,0,0,0,0,0,1651515800
11,0,0,0,0,0,0,1651515811
10,0,0,0,0,0,0,1651515821
10,0,0,0,0,0,0,1651515831
9,0,0,0,0,0,0,1651515840
11,0,0,0,0,0,0,1651515851
9,0,0,0,0,0,0,1651515860
11,0,0,0,0,0,0,1651515871
10,0,0,0,0,0,0,1651515881
10,0,0,0,0,0,0,1651515891
10,0,0,0,0,0,0,1651515901
