process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
4,0.0051,0.0,0.0,1651523839,0,0,0
1,0.01,3.0,0.0,1651523849,0,0,0
2,0.019,4.5,0.025,1651523859,0,0,2
4,0.013,3.0,0.023,1651523869,1,0,0
2,0.01,2.0,0.0,1651523879,0,0,0
6,0.0083,4.0,0.013,1651523889,0,0,1
4,0.011,4.0,0.023,1651523899,1,0,0
7,0.0,5.0,0.0,1651523909,0,0,0
10,0.0,10.0,0.0,1651523919,0,0,0
7,0.013,4.5,0.015,1651523929,0,1,0
4,0.0,4.0,0.0,1651523939,0,0,0
10,0.0068,10.0,0.013,1651523949,0,0,1
6,0.01,4.5,0.0,1651523959,0,0,0
4,0.015,3.5,0.0,1651523969,0,0,0
11,0.0074,9.0,0.0,1651523979,0,0,0
11,0.063,16.0,0.09,1651523989,0,1,6
4,0.0017,3.0,0.0,1651523999,0,0,0
5,0.01,3.0,0.0,1651524009,0,0,0
13,0.037,12.0,0.013,1651524019,0,0,1
5,0.012,6.0,0.0,1651524029,0,0,0
11,0.03,5.0,0.0,1651524039,0,0,0
8,0.022,9.5,0.0,1651524049,0,0,0
8,0.012,6.0,0.013,1651524059,0,0,1
4,0.0092,4.5,0.013,1651524069,0,0,1
9,0.0051,9.0,0.0,1651524079,0,0,0
6,0.018,4.0,0.013,1651524089,0,0,1
14,0.014,13.0,0.013,1651524099,0,0,1
13,0.0021,13.0,0.0,1651524109,0,0,0
13,0.0093,12.0,0.0,1651524119,0,0,0
5,0.0067,5.0,0.013,1651524129,0,0,1
