inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0.0,1651524235
10,0,0,0,0,0,0.0,1651524245
11,0,0,0,0,0,0.0,1651524256
10,0,0,0,0,0,0.0,1651524266
9,0,0,0,0,0,0.0,1651524275
5,0,0,0,0,3,2.0,1651524285
8,0,0,0,0,2,0.0,1651524295
9,0,0,0,0,0,0.0,1651524304
10,0,0,0,0,0,0.0,1651524314
12,0,0,0,0,0,0.0,1651524326
7,0,0,0,0,0,0.0,1651524333
8,0,0,0,0,4,0.0,1651524345
2,0,0,0,0,7,2.0,1651524355
4,0,0,0,0,3,2.0,1651524365
5,0,0,0,0,3,1.0,1651524375
8,0,0,0,0,1,0.0,1651524385
10,0,0,0,0,0,0.0,1651524395
10,0,0,0,0,0,0.0,1651524405
11,0,0,0,0,0,0.0,1651524416
8,0,0,0,0,1,0.0,1651524425
4,4,0,0,2,1,2.0,1651524435
10,0,0,0,0,0,0.0,1651524446
9,1,0,0,0,0,2.5,1651524455
10,0,0,0,0,0,0.0,1651524465
10,0,0,0,0,0,0.0,1651524475
10,0,0,0,0,0,0.0,1651524485
6,0,0,0,0,4,0.5,1651524496
9,1,0,0,0,0,0.0,1651524505
10,0,0,0,0,0,0.0,1651524515
6,0,0,0,0,4,0.0,1651524525
