inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0.5,1651524236
6,0,0,0,0,4,0.0,1651524246
4,0,0,0,0,2,3.5,1651524255
6,0,0,0,0,1,2.5,1651524265
10,0,0,0,0,0,0.0,1651524275
10,0,0,0,0,1,0.0,1651524286
9,0,0,0,0,0,0.0,1651524295
10,0,0,0,0,0,0.0,1651524305
7,0,0,0,0,3,0.0,1651524315
4,0,0,0,0,3,2.0,1651524324
6,0,0,0,0,4,1.0,1651524336
4,0,0,0,0,5,1.0,1651524346
4,0,0,0,0,2,0.5,1651524355
10,0,0,0,0,0,0.0,1651524365
10,0,0,0,0,0,0.0,1651524375
10,0,0,0,0,0,0.0,1651524385
10,0,0,0,0,0,0.0,1651524395
10,0,0,0,0,0,0.0,1651524405
10,0,0,0,0,0,0.0,1651524415
9,0,0,0,0,1,0.0,1651524425
10,0,0,0,0,0,0.0,1651524435
10,0,0,0,0,0,0.0,1651524445
10,0,0,0,0,0,0.0,1651524455
10,0,0,0,0,0,0.0,1651524465
11,0,0,0,0,0,0.0,1651524476
10,0,0,0,0,0,0.0,1651524486
8,0,0,0,0,1,0.0,1651524495
7,0,0,0,0,3,0.0,1651524506
6,0,0,0,0,2,0.0,1651524514
11,0,0,0,0,0,0.0,1651524525
