inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0,1651524539
1,0,0,0,0,8,0,1651524549
9,0,0,0,0,0,0,1651524558
9,3,0,0,1,0,0,1651524568
8,0,0,1,2,0,0,1651524578
10,0,0,0,0,0,0,1651524588
11,0,0,0,0,0,0,1651524599
6,0,0,0,0,2,0,1651524608
10,0,0,0,0,0,0,1651524618
10,0,0,0,0,0,0,1651524628
10,0,0,0,0,0,0,1651524638
7,0,0,0,1,1,0,1651524648
1,0,0,0,9,0,0,1651524658
10,0,0,0,0,0,0,1651524668
10,0,0,0,0,0,0,1651524678
10,0,0,0,0,0,0,1651524688
10,0,0,0,0,0,0,1651524698
9,0,0,0,0,0,0,1651524708
9,1,0,0,1,0,0,1651524718
8,0,0,0,0,3,0,1651524729
6,0,0,0,0,2,0,1651524738
10,0,0,0,0,0,0,1651524748
10,0,0,0,0,0,0,1651524758
7,2,0,0,1,0,0,1651524769
6,0,0,0,0,3,0,1651524778
9,0,0,0,0,0,0,1651524787
10,0,0,0,2,0,0,1651524799
10,1,0,0,0,0,0,1651524809
9,0,0,0,0,0,0,1651524818
10,0,0,0,0,0,0,1651524828
