inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
8,0,0,0,0,0,1.0,1651760455
7,0,0,0,0,0,1.0,1651760464
8,0,0,0,0,0,0.5,1651760474
10,0,0,0,0,0,2.0,1651760484
10,0,0,0,0,0,0.0,1651760494
9,0,0,0,0,0,1.0,1651760504
9,0,0,0,0,0,1.0,1651760514
10,0,0,0,0,0,0.0,1651760524
7,0,0,0,0,0,1.5,1651760534
6,1,0,0,3,0,0.0,1651760544
10,0,0,0,0,0,0.0,1651760554
7,0,0,0,0,0,1.0,1651760564
10,0,0,0,0,0,0.0,1651760574
10,0,0,0,0,0,2.5,1651760585
7,0,0,0,0,0,0.0,1651760594
9,3,0,0,0,0,0.0,1651760604
9,0,0,0,0,0,1.5,1651760614
10,0,0,0,0,0,0.0,1651760624
8,0,0,0,0,0,0.5,1651760634
9,2,0,0,1,0,0.0,1651760644
7,0,0,0,0,0,2.0,1651760655
8,0,0,0,2,0,0.0,1651760665
9,2,0,0,0,0,0.0,1651760674
7,0,0,0,0,0,1.0,1651760685
9,0,0,0,0,0,0.0,1651760694
9,4,0,0,1,0,0.0,1651760704
8,0,0,0,0,0,1.0,1651760714
9,5,0,0,1,0,0.0,1651760724
10,0,0,0,0,0,0.0,1651760734
10,0,0,0,0,0,0.0,1651760744
