inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0,1651760766
10,0,0,0,0,0,0,1651760776
10,0,0,0,0,0,0,1651760786
6,0,0,2,2,2,0,1651760797
8,0,0,0,0,1,0,1651760806
6,0,1,0,2,2,0,1651760816
8,0,0,3,2,0,0,1651760826
10,0,0,0,0,0,0,1651760836
8,0,0,0,0,2,0,1651760846
6,0,0,2,2,1,0,1651760856
10,0,0,0,0,1,0,1651760866
5,0,3,0,1,3,0,1651760877
9,0,0,0,0,0,0,1651760886
10,0,0,0,0,0,0,1651760896
3,0,0,0,0,7,0,1651760906
8,0,2,0,2,0,0,1651760916
10,0,0,0,0,0,0,1651760926
10,0,0,0,0,0,0,1651760936
10,0,0,0,0,0,0,1651760946
10,0,0,0,0,0,0,1651760956
5,0,0,0,0,6,0,1651760966
6,4,0,0,3,0,0,1651760977
9,3,0,0,0,0,0,1651760986
10,0,0,0,0,0,0,1651760996
4,0,0,0,0,5,0,1651761006
9,2,0,0,1,0,0,1651761016
10,0,0,0,0,0,0,1651761026
10,0,0,0,0,0,0,1651761036
9,0,0,0,0,0,0,1651761045
10,0,0,0,0,0,0,1651761055
