inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0,1651760766
9,0,0,0,0,0,0,1651760776
9,0,0,0,0,1,0,1651760787
9,0,0,0,0,0,0,1651760796
11,0,0,0,0,0,0,1651760807
9,0,0,0,0,0,0,1651760817
4,0,0,0,0,6,0,1651760827
7,0,0,0,0,3,0,1651760837
2,0,0,0,0,4,0,1651760846
9,0,0,0,0,1,0,1651760856
5,0,0,0,0,4,0,1651760867
7,0,0,0,0,2,0,1651760876
8,0,0,0,0,2,0,1651760886
2,0,0,0,0,8,0,1651760897
5,0,1,0,3,0,0,1651760907
9,0,0,0,0,0,0,1651760917
8,0,0,0,1,0,0,1651760927
7,0,1,0,2,0,0,1651760936
6,0,0,0,0,0,0,1651760946
5,0,0,0,0,2,0,1651760956
5,0,0,0,0,3,0,1651760966
7,0,0,0,0,2,0,1651760976
6,0,0,0,0,4,0,1651760987
6,1,0,0,1,2,0,1651760996
8,0,0,0,0,1,0,1651761007
6,0,0,0,0,3,0,1651761017
3,0,0,0,0,5,0,1651761026
5,0,0,0,0,4,0,1651761036
9,0,0,0,0,0,0,1651761046
10,0,0,0,0,0,0,1651761056
