inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
6,0,0,0,0,3,2.0,1651761249
6,1,0,0,0,3,1.0,1651761260
9,0,0,0,0,0,0.0,1651761269
10,0,0,0,0,0,0.0,1651761279
8,0,0,0,0,3,1.0,1651761289
3,0,0,0,0,3,1.0,1651761299
10,0,0,0,0,1,0.0,1651761310
4,0,0,0,0,3,1.0,1651761319
7,0,0,0,0,3,0.5,1651761329
6,0,0,0,0,2,0.0,1651761339
10,0,0,0,0,0,0.0,1651761349
5,0,0,0,0,4,0.0,1651761360
5,1,0,0,2,1,0.0,1651761369
10,0,0,0,0,0,0.0,1651761379
9,0,0,0,0,0,1.0,1651761390
0,1,0,0,1,4,10.0,1651761400
8,0,0,0,0,0,0.0,1651761409
10,0,0,0,0,1,0.0,1651761419
9,0,0,0,0,0,0.0,1651761429
4,0,0,0,0,5,0.0,1651761439
10,0,0,0,0,0,0.0,1651761449
4,0,0,0,0,4,0.0,1651761460
4,5,0,0,1,3,0.0,1651761469
8,0,0,0,0,1,0.0,1651761479
9,0,0,0,0,0,0.0,1651761489
3,0,0,0,0,6,0.0,1651761499
7,2,0,0,2,0,0.0,1651761509
10,0,0,0,0,0,0.0,1651761519
6,2,0,0,1,2,0.0,1651761530
5,0,0,0,0,4,0.0,1651761540
