inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0,1651761249
10,0,0,0,0,0,0,1651761259
7,0,0,0,0,2,0,1651761270
9,0,0,0,1,0,0,1651761280
7,0,0,2,2,0,0,1651761289
10,0,0,0,0,0,0,1651761299
7,0,0,0,0,2,0,1651761309
10,0,0,0,0,0,0,1651761319
10,0,0,0,0,0,0,1651761329
8,0,0,0,0,3,0,1651761340
3,0,0,0,0,5,0,1651761350
9,0,0,0,0,0,0,1651761359
10,0,0,0,0,0,0,1651761370
3,0,0,0,0,3,0,1651761379
4,0,0,0,0,4,0,1651761389
10,0,0,0,0,0,0,1651761399
3,0,0,0,0,4,0,1651761409
6,0,1,0,3,2,0,1651761420
4,0,0,0,0,3,0,1651761430
10,0,0,0,0,0,0,1651761440
5,1,0,0,1,3,0,1651761449
10,0,0,0,0,0,0,1651761459
10,0,0,0,0,0,0,1651761469
5,0,0,0,0,5,0,1651761480
6,2,0,0,1,2,0,1651761489
10,0,0,0,0,0,0,1651761499
6,0,0,0,0,3,0,1651761510
3,0,0,0,0,5,0,1651761520
9,0,0,0,0,0,0,1651761529
10,0,0,0,0,0,0,1651761539
