inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0,1651761561
7,5,0,0,1,0,0,1651761570
10,0,0,0,0,0,0,1651761580
7,0,0,7,3,0,0,1651761590
10,0,0,0,0,0,0,1651761601
7,0,3,0,2,0,0,1651761610
10,0,0,0,0,0,0,1651761620
10,0,0,0,0,0,0,1651761630
11,0,0,0,0,0,0,1651761641
9,0,0,0,0,0,0,1651761650
10,0,0,0,0,0,0,1651761660
10,0,0,0,0,0,0,1651761670
10,0,0,0,0,0,0,1651761680
10,0,0,0,0,0,0,1651761690
10,0,0,0,0,0,0,1651761700
9,0,0,0,0,0,0,1651761711
6,4,0,0,4,0,0,1651761720
9,0,9,0,2,0,0,1651761731
8,1,0,0,1,0,0,1651761741
8,1,0,0,1,0,0,1651761750
9,0,0,0,0,0,0,1651761760
8,0,0,0,0,0,0,1651761771
7,0,0,0,0,0,0,1651761781
9,0,0,0,0,0,0,1651761791
9,0,0,0,0,0,0,1651761800
10,0,0,0,0,0,0,1651761810
10,0,0,0,0,0,0,1651761820
10,0,0,0,0,0,0,1651761830
11,0,0,0,0,0,0,1651761841
9,0,0,0,0,0,0,1651761850
