inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
7,0,0,0,0,2,0.0,1651761560
4,0,0,0,0,4,0.5,1651761570
10,0,0,0,0,0,0.0,1651761581
9,0,0,0,0,0,0.0,1651761590
7,0,0,0,0,1,0.0,1651761600
9,0,0,0,0,2,0.5,1651761611
9,0,0,0,0,0,0.0,1651761620
8,0,0,0,0,2,0.0,1651761630
6,0,0,0,0,2,4.5,1651761640
9,1,0,0,1,0,0.0,1651761650
10,0,0,0,0,0,0.0,1651761660
5,1,0,0,1,3,0.0,1651761671
4,0,0,0,0,4,1.0,1651761680
4,1,0,0,1,3,0.0,1651761690
7,0,0,0,0,1,0.0,1651761700
9,0,0,0,0,1,0.0,1651761710
6,0,0,0,1,3,1.5,1651761721
3,5,0,0,0,1,0.0,1651761730
4,0,0,0,0,4,0.0,1651761740
5,2,0,0,1,2,1.5,1651761751
9,0,0,0,0,1,0.0,1651761761
5,0,0,0,0,3,0.0,1651761770
7,0,0,0,0,0,0.0,1651761780
7,0,0,0,0,2,0.0,1651761790
5,0,0,0,0,3,1.0,1651761801
7,0,0,0,0,2,0.0,1651761811
8,0,0,0,0,0,0.0,1651761821
7,0,0,0,0,1,0.0,1651761830
7,0,0,0,0,0,0.0,1651761840
9,0,0,0,0,0,0.0,1651761850
