inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
10,0,0,0,0,0,0.0,1651761990
9,0,0,0,0,0,0.0,1651761999
6,0,0,0,0,3,0.5,1651762009
8,0,0,0,0,1,0.5,1651762019
11,0,0,0,0,0,0.0,1651762030
5,0,0,0,0,3,0.0,1651762039
11,0,0,0,0,0,0.0,1651762050
6,0,0,0,0,2,0.5,1651762059
9,0,0,0,0,1,0.0,1651762070
9,0,0,0,0,0,0.0,1651762079
10,0,0,0,0,0,0.0,1651762089
9,0,0,0,0,0,0.0,1651762098
11,0,0,0,0,0,0.0,1651762109
7,0,0,0,0,3,0.0,1651762119
8,1,0,0,1,0,0.0,1651762128
11,0,0,0,0,0,0.0,1651762139
10,0,0,0,0,0,0.0,1651762149
10,0,0,0,0,0,0.0,1651762159
9,0,0,0,0,1,0.0,1651762169
4,1,0,0,0,2,0.5,1651762179
10,0,0,0,0,0,0.0,1651762189
10,0,0,0,0,0,0.0,1651762199
11,0,0,0,0,0,0.0,1651762210
9,0,0,0,0,0,0.0,1651762219
9,0,0,0,0,1,0.0,1651762229
2,0,0,0,0,5,1.0,1651762239
6,1,0,0,1,3,1.0,1651762250
10,0,0,0,0,0,0.0,1651762260
9,0,0,0,0,0,0.0,1651762269
9,0,0,0,0,0,0.0,1651762278
