inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0.0,1651761989
11,0,0,0,0,0,0.0,1651762000
8,0,0,0,0,0,1.5,1651762009
8,0,0,0,0,0,0.5,1651762019
9,0,0,0,0,0,0.0,1651762028
12,0,0,0,0,0,0.0,1651762040
9,0,0,0,0,0,0.0,1651762049
11,0,0,0,0,0,0.0,1651762060
9,0,0,0,0,0,0.0,1651762069
10,0,0,0,0,0,0.0,1651762079
11,0,0,0,0,0,0.0,1651762090
9,0,0,0,0,0,0.0,1651762099
7,0,0,0,1,1,0.5,1651762110
4,3,0,0,0,3,0.5,1651762119
10,0,0,0,0,0,0.0,1651762129
10,0,0,0,0,0,0.0,1651762139
4,0,0,0,0,4,0.5,1651762149
8,0,0,0,0,0,1.5,1651762159
9,0,0,0,0,0,0.0,1651762169
10,0,0,0,0,0,0.0,1651762179
10,0,0,0,0,0,0.0,1651762189
3,0,0,0,0,5,1.0,1651762199
2,0,0,0,0,1,2.0,1651762209
10,0,0,0,0,0,0.0,1651762219
11,0,0,0,0,0,0.0,1651762230
10,0,0,0,0,0,0.0,1651762240
9,0,0,0,0,0,0.0,1651762249
7,0,0,0,0,3,0.0,1651762259
6,0,0,0,0,2,2.0,1651762269
2,0,0,0,0,4,4.0,1651762279
