inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0,1651761989
10,0,0,0,0,0,0,1651761999
10,0,0,0,0,0,0,1651762009
10,0,0,0,0,0,0,1651762019
10,0,0,0,0,0,0,1651762029
10,0,0,0,0,0,0,1651762039
6,1,0,0,1,0,0,1651762049
10,0,0,0,0,0,0,1651762059
8,0,0,1,2,0,0,1651762069
11,0,0,0,0,0,0,1651762080
9,0,0,0,0,0,0,1651762089
7,0,0,0,0,4,0,1651762100
9,0,0,0,0,0,0,1651762109
10,0,0,0,0,0,0,1651762119
8,0,2,0,2,0,0,1651762130
9,0,0,0,0,0,0,1651762139
10,0,0,0,0,0,0,1651762149
9,0,0,0,0,0,0,1651762158
11,0,0,0,0,0,0,1651762169
11,0,0,0,0,0,0,1651762180
4,0,0,0,0,5,0,1651762190
10,0,0,0,0,0,0,1651762200
9,0,0,0,0,0,0,1651762209
8,4,0,0,0,2,0,1651762219
10,0,0,0,0,0,0,1651762229
9,0,0,0,0,1,0,1651762239
8,0,0,0,0,1,0,1651762249
9,0,0,0,0,0,0,1651762258
12,0,0,0,0,0,0,1651762270
10,0,0,0,0,0,0,1651762280
