inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0.0,1651762299
10,0,0,0,0,0,0.0,1651762309
8,0,0,0,0,2,2.0,1651762319
6,1,0,0,2,2,0.0,1651762329
11,0,0,0,0,0,0.0,1651762340
9,0,0,0,0,0,0.0,1651762349
10,0,0,0,0,0,0.0,1651762359
10,0,0,0,0,0,0.0,1651762369
10,0,0,0,0,0,0.0,1651762379
7,0,0,0,0,2,0.5,1651762390
4,0,0,0,0,5,1.0,1651762400
9,0,0,0,0,0,0.0,1651762409
10,0,0,0,0,0,0.0,1651762419
8,0,0,0,0,3,0.0,1651762430
2,0,0,0,0,4,1.0,1651762439
5,1,0,0,1,1,0.5,1651762449
11,0,0,0,0,0,0.0,1651762460
9,0,0,0,0,0,0.0,1651762469
10,0,0,0,0,0,0.0,1651762479
10,0,0,0,0,0,0.0,1651762489
9,0,0,0,0,0,0.0,1651762498
12,0,0,0,0,0,0.0,1651762510
6,1,0,0,1,2,0.5,1651762520
8,0,0,0,0,1,0.0,1651762529
10,0,0,0,0,0,0.0,1651762539
11,0,0,0,0,0,0.0,1651762550
9,0,0,0,0,0,0.0,1651762559
7,0,0,0,0,2,0.0,1651762569
10,0,0,0,0,0,0.0,1651762579
10,0,0,0,0,0,0.0,1651762589
