inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
6,0,0,0,0,3,2.5,1651762299
9,1,0,0,1,0,0.0,1651762310
9,0,0,0,0,0,0.0,1651762319
11,0,0,0,0,0,0.0,1651762330
9,0,0,0,0,0,0.0,1651762339
8,0,0,0,0,1,0.0,1651762350
9,0,0,0,0,0,0.0,1651762359
10,0,0,0,0,0,0.0,1651762369
4,0,0,0,0,4,0.5,1651762380
9,0,0,0,0,0,0.0,1651762389
10,0,0,0,0,0,0.0,1651762399
10,0,0,0,0,0,0.0,1651762409
9,0,0,0,0,2,0.0,1651762420
2,1,0,0,2,5,0.0,1651762429
6,0,0,0,0,2,3.5,1651762440
9,0,0,0,0,1,0.0,1651762450
9,0,0,0,0,0,0.0,1651762459
9,0,0,0,0,0,0.0,1651762468
4,0,0,0,0,0,0.0,1651762472
17,0,0,0,0,0,0.0,1651762489
10,0,0,0,0,0,0.0,1651762499
10,0,0,0,0,0,0.0,1651762509
8,4,0,0,2,0,0.0,1651762519
11,0,0,0,0,0,0.0,1651762530
9,0,0,0,0,0,0.0,1651762539
10,0,0,0,0,0,0.0,1651762549
4,0,0,0,0,4,2.5,1651762560
9,0,0,0,0,0,0.5,1651762570
10,0,0,0,0,0,0.0,1651762580
10,0,0,0,0,0,0.0,1651762590
