effort,triage_count_green,triage_count_yellow,triage_count_red,action_green_triage_s,action_yellow_triage_s,action_red_triage_s,move,action_speedup_s,action_dig_rubble_s,previous_timestamp,exploration,skill_s,workload
4,0,0,0,0.0,0,0,0.8,0.0,0.0,1655837161.600426,39,0.0,0.195
27,0,0,0,0.0,0,0,3.5999999999999996,1.0241210460662842,0.2,1655837172.572966,83,1.2241210460662841,0.415
23,0,0,0,0.0,0,0,4.400000000000001,0.25143003463745117,0.2,1655837182.585085,92,0.4514300346374512,0.46
18,0,0,0,0.0,0,0,3.6000000000000005,0.0,0.0,1655837192.586326,24,0.0,0.12
32,0,0,0,0.0,0,0,6.000000000000001,0.0,0.4,1655837202.58654,115,0.4,0.575
30,0,0,0,0.0,0,0,3.000000000000001,0.0,2.018805980682373,1655837212.64691,60,2.018805980682373,0.3
58,0,0,0,0.0,0,0,7.600000000000001,1.6686859130859375,0.599822998046875,1655837222.574769,26,2.2685089111328125,0.13
46,0,0,0,1.601693868637085,0,0,8.799999999999999,0.04067397117614746,0.2,1655837233.491021,126,1.8423678398132324,0.63
41,1,0,0,0.6624901294708252,0,0,2.1999999999999997,0.0,2.074580192565918,1655837243.575011,8,2.737070322036743,0.29
16,0,0,0,0.0,0,0,3.2,0.0,0.0,1655837253.569106,0,0.0,0.0
73,0,0,0,0.0,0,0,9.999999999999998,2.0156872272491455,0.0,1655837263.593921,24,2.0156872272491455,0.12
20,0,0,0,0.0,0,0,1.0,0.0,2.563678026199341,1655837273.646951,7,2.563678026199341,0.035
31,1,0,0,1.871513843536377,0,0,2.2,0.0,0.891793966293335,1655837283.591105,1,2.763307809829712,0.255
145,0,0,0,0.0,0,0,17.399999999999995,3.687265157699585,0.2,1655837294.5954,78,3.887265157699585,0.39
73,0,0,0,0.0,0,0,9.799999999999997,1.4302780628204346,0.0,1655837304.602871,73,1.4302780628204346,0.365
33,1,0,0,2.783112049102783,0,0,4.4,0.0,0.7882132053375244,1655837314.670334,61,3.571325254440308,0.5549999999999999
76,0,0,0,0.0,0,0,8.4,1.414355993270874,1.5377848148345947,1655837324.571071,5,2.9521408081054688,0.025
36,0,0,0,0.0,0,0,4.200000000000001,0.563248872756958,1.1675960540771484,1655837334.517687,62,1.7308449268341064,0.31
75,0,0,0,0.0,0,0,8.0,3.5541489124298096,0.8003218173980713,1655837344.74667,29,4.354470729827881,0.145
93,0,0,0,0.0,0,0,10.400000000000002,4.843006134033203,0.2,1655837355.641258,54,5.043006134033203,0.27
34,0,0,0,0.0,0,0,4.800000000000002,0.0,0.7895758152008057,1655837365.570541,44,0.7895758152008057,0.22
76,0,0,0,0.0,0,0,10.800000000000004,1.8020939826965332,0.0,1655837375.795143,33,1.8020939826965332,0.165
28,0,0,0,0.0,0,0,5.200000000000002,0.024140119552612305,0.4,1655837385.579033,42,0.4241401195526123,0.21
37,0,0,0,0.0,0,0,3.8000000000000007,0.6529018878936768,2.389179849624634,1655837395.650659,63,3.042081737518311,0.315
61,1,0,0,1.311384916305542,0,0,7.200000000000001,1.6599969863891602,0.2,1655837405.570907,84,3.1713819026947023,0.6699999999999999
42,1,0,0,1.057816982269287,0,0,4.000000000000001,0.7847499847412109,0.7247399806976318,1655837415.59904,62,2.56730694770813,0.56
51,0,0,0,0.0,0,0,6.200000000000002,1.6336047649383545,0.9445490837097168,1655837426.949061,68,2.5781538486480713,0.34
99,0,0,0,0.0,0,0,11.200000000000001,5.905561923980713,0.0,1655837436.956933,31,5.905561923980713,0.155
114,0,0,0,0.0,0,0,12.2,6.374966144561768,0.2,1655837446.576562,117,6.574966144561768,0.585
