effort,triage_count_green,triage_count_yellow,triage_count_red,action_green_triage_s,action_yellow_triage_s,action_red_triage_s,move,action_speedup_s,action_dig_rubble_s,previous_timestamp,exploration,skill_s,workload
4,0,0,0,0.0,0,0,0.8,0.0,0.0,1655837162.004141,20,0.0,0.1
23,0,0,0,0.0,0,0,3.2000000000000006,1.5394339561462402,0.0,1655837171.649266,23,1.5394339561462402,0.115
84,0,0,0,0.0,0,0,8.400000000000002,8.193263053894043,0.0,1655837181.907046,160,8.193263053894043,0.8
166,0,0,0,0.0,0,0,16.8,6.702651023864746,0.0,1655837191.916523,78,6.702651023864746,0.39
65,0,0,0,0.0,0,0,8.0,3.828882932662964,0.0,1655837202.700563,85,3.828882932662964,0.425
0,0,0,0,0.0,0,0,0.0,3.420259952545166,0.0,1655837212.27684,0,3.420259952545166,0.0
1,0,0,0,0.0,0,0,0.2,0.0,0.0,1655837222.597063,0,0.0,0.0
78,0,0,0,0.0,0,0,7.800000000000002,9.14779806137085,0.0,1655837232.796456,2,9.14779806137085,0.01
65,0,0,0,0.0,0,0,7.400000000000001,1.965986967086792,0.0,1655837243.45693,96,1.965986967086792,0.48
69,0,0,0,0.0,0,0,9.200000000000001,3.7923500537872314,0.2,1655837252.747332,40,3.9923500537872316,0.2
41,0,0,0,0.0,0,0,5.400000000000001,5.958024024963379,0.0,1655837263.661181,61,5.958024024963379,0.305
186,0,0,0,0.0,0,0,18.999999999999996,8.76838493347168,0.0,1655837273.349014,124,8.76838493347168,0.62
12,0,0,0,0.0,0,0,1.9999999999999998,2.9263410568237305,0.2,1655837282.829417,20,3.1263410568237306,0.1
55,0,0,0,0.0,0,0,5.400000000000001,9.8856680393219,0.2,1655837293.933703,110,10.085668039321899,0.55
12,1,0,0,2.2714309692382812,0,0,0.4,1.7098639011383057,0.0,1655837303.927349,6,3.981294870376587,0.28
19,0,0,0,0.0,0,0,2.2,2.5223629474639893,0.0,1655837311.989754,5,2.5223629474639893,0.025
37,0,0,0,0.0,0,0,4.0,7.459709882736206,0.0,1655837324.228304,5,7.459709882736206,0.025
4,0,0,0,0.0,0,0,0.4,4.135793924331665,0.0,1655837334.652912,0,4.135793924331665,0.0
49,0,0,0,0.0,0,0,5.0,7.753468990325928,0.0,1655837343.945604,0,7.753468990325928,0.0
30,0,0,0,0.0,0,0,3.0,9.99303388595581,0.0,1655837354.739704,0,9.99303388595581,0.0
64,0,0,0,0.0,0,0,6.600000000000001,7.94544792175293,0.0,1655837364.835373,0,7.94544792175293,0.0
44,0,0,0,0.0,0,0,4.4,8.42702579498291,0.0,1655837374.770568,4,8.42702579498291,0.02
70,0,0,0,0.0,0,0,7.000000000000003,9.998272180557251,0.0,1655837385.793415,0,9.998272180557251,0.0
72,0,0,0,0.0,0,0,7.200000000000002,9.888933181762695,0.0,1655837395.762695,0,9.888933181762695,0.0
148,0,0,0,0.0,0,0,14.799999999999999,9.976622104644775,0.0,1655837405.859364,0,9.976622104644775,0.0
106,0,0,0,0.0,0,0,10.600000000000001,10.537626028060913,0.0,1655837416.454161,0,10.537626028060913,0.0
22,1,0,0,1.9357070922851562,0,0,1.7999999999999998,0.4163210391998291,0.2,1655837425.90412,36,2.5520281314849855,0.43
15,0,0,0,0.0,0,0,2.8000000000000007,0.40459108352661133,0.0,1655837436.358539,4,0.40459108352661133,0.02
68,0,0,0,0.0,0,0,6.800000000000002,9.253575086593628,0.0,1655837446.654993,13,9.253575086593628,0.065
