effort,triage_count_green,triage_count_yellow,triage_count_red,action_green_triage_s,action_yellow_triage_s,action_red_triage_s,move,action_speedup_s,action_dig_rubble_s,previous_timestamp,exploration,skill_s,workload
2,0,0,0,0.0,0,0.0,0.4,0.0,0,1655837161.879344,0,0.0,0.0
3,0,0,0,0.0,0,0.0,0.6000000000000001,0.0,0,1655837171.962401,0,0.0,0.0
8,0,0,0,0.0,0,0.0,1.5999999999999999,0.0,0,1655837182.631979,0,0.0,0.0
25,0,0,0,0.0,0,0.0,2.8000000000000003,3.5967891216278076,0,1655837192.682923,0,3.5967891216278076,0.0
16,0,0,0,0.0,0,0.0,2.2,2.387498140335083,0,1655837201.714618,11,2.387498140335083,0.055
0,0,0,0,0.0,0,0.030195951461791992,0.0,0.0,0,1655837212.170086,0,0.0,0.0
22,0,0,1,0.0,0,2.0578160285949707,0.4,0.0,0,1655837223.409579,6,0.0,0.28
8,0,0,0,0.0,0,0.0,1.5999999999999999,0.0,0,1655837232.641689,5,0.0,0.025
3,0,0,0,0.0,0,0.0,0.6000000000000001,0.0,0,1655837240.932893,0,0.0,0.0
0,0,0,0,0.0,0,0.0,0.0,0.0,0,1655837248.506767,0,0.0,0.0
1,0,0,0,0.0,0,0.0,0.2,0.0,0,1655837263.589934,0,0.0,0.0
7,0,0,0,0.0,0,0.0,1.4,0.0,0,1655837272.714108,1,0.0,0.005
23,0,0,0,0.0,0,0.0,2.6,2.270937919616699,0,1655837282.672561,0,2.270937919616699,0.0
39,1,0,0,1.296929121017456,0,0.0,3.2000000000000006,4.223940134048462,0,1655837293.828624,6,5.520869255065918,0.28
33,1,0,0,1.9755659103393555,0,0.0,3.0000000000000004,2.457674980163574,0,1655837303.608336,20,4.43324089050293,0.35
70,0,0,0,0.0,0,0.0,7.000000000000003,9.44621205329895,0,1655837314.049083,5,9.44621205329895,0.025
88,0,0,0,0.0,0,0.0,8.799999999999999,9.002684831619263,0,1655837323.673019,143,9.002684831619263,0.715
62,0,0,0,0.0,0,0.0,6.200000000000001,10.031443119049072,0,1655837334.702022,140,10.031443119049072,0.7
27,0,0,0,0.0,0,0.0,3.2000000000000006,6.544565916061401,0,1655837344.243088,44,6.544565916061401,0.22
0,0,0,0,0.0,0,0.0,0.0,7.8127288818359375,0,1655837352.559399,0,7.8127288818359375,0.0
76,0,0,0,0.0,0,0.0,7.600000000000001,9.052908897399902,0,1655837364.696255,1,9.052908897399902,0.005
98,0,0,0,0.0,0,0.0,9.800000000000002,9.963613033294678,0,1655837375.68414,112,9.963613033294678,0.56
58,0,0,0,0.0,0,0.0,5.800000000000002,8.847018003463745,0,1655837384.642161,20,8.847018003463745,0.1
48,0,0,0,0.0,0,0.0,4.800000000000001,9.985388994216919,0,1655837395.859151,71,9.985388994216919,0.355
62,0,0,0,0.0,0,0.0,6.200000000000002,10.033792972564697,0,1655837405.916535,34,10.033792972564697,0.17
60,0,0,0,0.0,0,0.0,6.000000000000002,9.907850980758667,0,1655837415.824386,0,9.907850980758667,0.0
36,0,0,0,0.0,0,0.0,3.600000000000001,9.658661127090454,0,1655837426.112822,0,9.658661127090454,0.0
54,0,0,0,0.0,0,0.0,5.400000000000001,8.231474161148071,0,1655837435.180535,0,8.231474161148071,0.0
18,0,0,0,0.0,0,0.0,1.7999999999999998,10.177787065505981,0,1655837447.13472,0,10.177787065505981,0.0
