effort,triage_count_green,triage_count_yellow,triage_count_red,action_green_triage_s,action_yellow_triage_s,action_red_triage_s,move,action_speedup_s,action_dig_rubble_s,previous_timestamp,exploration,skill_s,workload
2,0,0,0,0.0,0.0,0.0,0.4,0.0,0,1655837162.591211,6,0.0,0.03
15,0,0,0,0.0,0.0,0.0,3.0000000000000004,0.0,0,1655837172.607132,0,0.0,0.0
34,0,0,0,0.0,0.0,0.0,6.800000000000001,0.0,0,1655837181.636471,12,0.0,0.06
25,0,0,1,0.0,0.0,3.258491039276123,1.0,0.0,0,1655837191.726102,1,0.0,0.255
38,0,0,0,0.0,0.0,0.0,7.600000000000002,0.0,0,1655837202.641985,18,0.0,0.09
24,1,0,0,1.916128158569336,0.0,0.0,2.800000000000001,0.0,0,1655837212.713155,10,1.916128158569336,0.3
33,0,1,0,0.0,3.044376850128174,0.0,2.5999999999999996,0.0,0,1655837222.575862,0,0.0,0.25
17,0,0,0,0.0,0.0,0.0,3.4000000000000012,0.0,0,1655837232.621992,0,0.0,0.0
35,0,0,0,0.0,0.0,0.0,7.000000000000003,0.0,0,1655837242.640613,18,0.0,0.09
27,0,0,1,0.0,0.0,3.2177441120147705,1.4,0.0,0,1655837253.782854,0,0.0,0.25
38,0,1,0,0.0,3.608630895614624,0.0,3.5999999999999996,0.0,0,1655837263.80885,0,0.0,0.25
28,0,0,0,0.0,0.0,0.0,5.6,0.0,0,1655837273.892827,2,0.0,0.01
5,0,0,0,0.0,1.6154329776763916,0.0,1.0,0.0,0,1655837284.048035,0,0.0,0.0
34,0,1,0,0.0,1.2917230129241943,0.0,2.8,0.0,0,1655837293.928039,0,0.0,0.25
47,0,0,0,0.0,0.0,0.0,9.400000000000002,0.0,0,1655837304.579842,3,0.0,0.015
50,0,0,0,0.0,0.0,0.0,10.0,0.0,0,1655837313.963177,81,0.0,0.405
22,0,0,0,0.0,0.0,0.0,4.400000000000002,0.0,0,1655837324.670579,2,0.0,0.01
33,0,0,0,0.0,0.0,0.0,6.600000000000001,0.0,0,1655837333.691705,0,0.0,0.0
32,0,0,0,0.0,0.0,0.0,6.400000000000001,0.0,0,1655837344.686936,8,0.0,0.04
32,0,0,0,0.0,0.0,0.0,6.400000000000002,0.0,0,1655837354.65152,0,0.0,0.0
32,0,0,0,0.0,0.0,0.0,6.400000000000002,0.0,0,1655837365.720527,0,0.0,0.0
38,0,0,0,0.0,0.0,0.0,7.600000000000002,0.0,0,1655837375.616847,4,0.0,0.02
35,0,0,0,0.0,0.0,0.0,7.000000000000002,0.0,0,1655837385.873762,0,0.0,0.0
37,0,0,0,0.0,0.0,0.0,7.400000000000002,0.0,0,1655837395.882742,0,0.0,0.0
49,0,0,0,0.0,0.0,0.0,9.800000000000002,0.0,0,1655837405.356075,21,0.0,0.105
34,0,0,0,0.0,0.0,0.0,6.8000000000000025,0.0,0,1655837415.837435,26,0.0,0.13
19,0,0,0,0.0,0.0,0.0,3.8000000000000007,0.0,0,1655837425.859611,11,0.0,0.055
29,0,0,0,0.0,0.0,0.0,5.8000000000000025,0.0006198883056640625,0,1655837436.839237,11,0.0006198883056640625,0.055
43,0,0,0,0.0,0.0,0.0,8.600000000000001,0.0,0,1655837446.827827,29,0.0,0.145
