process_effort_s,process_workload_burnt,process_skill_use_s,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
0.03,0.32500000000000007,0.0,1655837162.591211,0,0,0
0.17,0.53,0.01315754848556617,1655837172.607132,0,0,0
0.3725,1.32,0.010869328927632005,1655837182.631979,0,0,0
0.585,0.765,0.19129331008863712,1655837192.682923,1,0,0
0.3775,1.145,0.015624755863189637,1655837202.700563,0,0,0
0.135,0.6,0.35047729657070037,1655837212.713155,0,0,1
0.285,0.66,0.36244098062533253,1655837223.409579,1,1,0
0.3725,0.665,0.004716182998795445,1655837233.491021,0,0,0
0.36,0.86,0.10504904921479834,1655837243.575011,0,0,1
0.28,0.45,0.17952412979689109,1655837253.782854,1,0,0
0.3825,0.675,0.12514948892134212,1655837263.80885,0,1,0
0.6025,0.67,0.17984271237941157,1655837273.892827,0,0,0
0.1775,0.355,0.22205761263355944,1655837284.048035,0,0,1
0.6825,1.47,0.09069203822188554,1655837294.5954,0,1,1
0.4125,1.01,0.0,1655837304.602871,0,0,2
0.43,1.01,0.024719958482282308,1655837314.670334,0,0,1
0.5575,0.775,0.03868491242067665,1655837324.670579,0,0,0
0.3375,1.01,0.054380689699739776,1655837334.702022,0,0,0
0.4575,0.405,0.02273532547655466,1655837344.74667,0,0,0
0.3875,0.27,0.004716936632673276,1655837355.641258,0,0,0
0.515,0.225,0.03531402541510542,1655837365.720527,0,0,0
0.64,0.765,0.0,1655837375.795143,0,0,0
0.4775,0.31,0.01785682398528597,1655837385.873762,0,0,0
0.485,0.6699999999999999,0.09650475934488292,1655837395.882742,0,0,0
0.8,0.945,0.0057395496267706935,1655837405.916535,0,0,1
0.605,0.6900000000000001,0.03133248199482457,1655837416.454161,0,0,1
0.32,0.8250000000000001,0.045754801050584215,1655837426.949061,0,0,1
0.4925,0.22999999999999998,0.0,1655837436.956933,0,0,0
0.6075,0.7949999999999999,0.004032225546568174,1655837447.13472,0,0,0
