id,z,x,code,key
565,45,10,9,rubble
566,46,10,9,rubble
616,44,11,9,rubble
618,46,11,9,rubble
669,45,12,9,rubble
1034,46,19,9,rubble
1085,45,20,9,rubble
1087,47,20,9,rubble
1138,46,21,9,rubble
1451,47,27,9,rubble
1482,26,28,9,rubble
1502,46,28,9,rubble
1504,48,28,9,rubble
1535,27,29,9,rubble
1555,47,29,9,rubble
1638,26,31,9,rubble
1691,27,32,9,rubble
1718,2,33,9,rubble
1742,26,33,9,rubble
1771,3,34,9,rubble
1822,2,35,9,rubble
1970,46,37,9,rubble
2021,45,38,9,rubble
2023,47,38,9,rubble
2074,46,39,9,rubble
2304,16,44,9,rubble
2355,15,45,9,rubble
2357,17,45,9,rubble
2902,42,55,9,rubble
2955,43,56,9,rubble
3006,42,57,9,rubble
3294,18,63,9,rubble
3323,47,63,9,rubble
3333,5,64,9,rubble
3345,17,64,9,rubble
3347,19,64,9,rubble
3374,46,64,9,rubble
3376,48,64,9,rubble
3384,4,65,9,rubble
3386,6,65,9,rubble
3398,18,65,9,rubble
3427,47,65,9,rubble
3437,5,66,9,rubble
3564,28,68,9,rubble
3615,27,69,9,rubble
3617,29,69,9,rubble
3668,28,70,9,rubble
4039,35,77,9,rubble
4090,34,78,9,rubble
4206,46,80,9,rubble
4231,19,81,9,rubble
4257,45,81,9,rubble
4259,47,81,9,rubble
4274,10,82,9,rubble
4284,20,82,9,rubble
4310,46,82,9,rubble
4325,9,83,9,rubble
4327,11,83,9,rubble
4335,19,83,9,rubble
4342,26,83,9,rubble
4378,10,84,9,rubble
4393,25,84,9,rubble
4476,4,86,9,rubble
4527,3,87,9,rubble
4529,5,87,9,rubble
4580,4,88,9,rubble
4589,13,88,9,rubble
4640,12,89,9,rubble
4642,14,89,9,rubble
4693,13,90,9,rubble
